"function_name","target","stored_formula","display_text","value","parse_status","operation_error"
"EXACT","Sheet1!E39","","",,"operation_rejected","0x800A03EC"
"EXP","Sheet1!E40","=EXP(1)","2.718282","2.718281828459045","recognized_or_runtime_error",
"EXPAND","Sheet1!F1","","",,"operation_rejected","0x800A03EC"
"EXPON.DIST","Sheet1!F2","","",,"operation_rejected","0x800A03EC"
"EXPONDIST","Sheet1!F3","","",,"operation_rejected","0x800A03EC"
"F.DIST","Sheet1!F4","","",,"operation_rejected","0x800A03EC"
"F.DIST.RT","Sheet1!F5","","",,"operation_rejected","0x800A03EC"
"F.INV","Sheet1!F6","","",,"operation_rejected","0x800A03EC"
"F.INV.RT","Sheet1!F7","","",,"operation_rejected","0x800A03EC"
"F.TEST","Sheet1!F8","","",,"operation_rejected","0x800A03EC"
"FACT","Sheet1!F9","=FACT(1)","1","1","recognized_or_runtime_error",
"FACTDOUBLE","Sheet1!F10","=FACTDOUBLE(1)","1","1","recognized_or_runtime_error",
"FALSE","Sheet1!F11","","",,"operation_rejected","0x800A03EC"
"FDIST","Sheet1!F12","","",,"operation_rejected","0x800A03EC"
"FILTER","Sheet1!F13","","",,"operation_rejected","0x800A03EC"
"FILTERXML","Sheet1!F14","","",,"operation_rejected","0x800A03EC"
"FIND, FINDB","Sheet1!F15","","",,"operation_rejected","0x800A03EC"
"FINV","Sheet1!F16","","",,"operation_rejected","0x800A03EC"
"FISHER","Sheet1!F17","=FISHER(1)","#NUM!","-2146826252","recognized_or_runtime_error",
"FISHERINV","Sheet1!F18","=FISHERINV(1)","0.761594","0.7615941559557649","recognized_or_runtime_error",
"FIXED","Sheet1!F19","=FIXED(1)","1.00","1.00","recognized_or_runtime_error",
"FLOOR","Sheet1!F20","","",,"operation_rejected","0x800A03EC"
"FLOOR.MATH","Sheet1!F21","=FLOOR.MATH(1)","1","1","recognized_or_runtime_error",
"FLOOR.PRECISE","Sheet1!F22","=FLOOR.PRECISE(1)","1","1","recognized_or_runtime_error",
"FORMULATEXT","Sheet1!F23","","",,"operation_rejected","0x800A03EC"
"FREQUENCY","Sheet1!F24","","",,"operation_rejected","0x800A03EC"
"FTEST","Sheet1!F25","","",,"operation_rejected","0x800A03EC"
"FV","Sheet1!F26","","",,"operation_rejected","0x800A03EC"
"FVSCHEDULE","Sheet1!F27","","",,"operation_rejected","0x800A03EC"
"GAMMA","Sheet1!F28","=GAMMA(1)","1","1","recognized_or_runtime_error",
"GAMMA.DIST","Sheet1!F29","","",,"operation_rejected","0x800A03EC"
"GAMMA.INV","Sheet1!F30","","",,"operation_rejected","0x800A03EC"
"GAMMADIST","Sheet1!F31","","",,"operation_rejected","0x800A03EC"
"GAMMAINV","Sheet1!F32","","",,"operation_rejected","0x800A03EC"
"GAMMALN","Sheet1!F33","=GAMMALN(1)","0","0","recognized_or_runtime_error",
"GAMMALN.PRECISE","Sheet1!F34","=GAMMALN.PRECISE(1)","0","0","recognized_or_runtime_error",
"GAUSS","Sheet1!F35","=GAUSS(1)","0.341345","0.34134474606854304","recognized_or_runtime_error",
"GCD","Sheet1!F36","=GCD(1)","1","1","recognized_or_runtime_error",
"GEOMEAN","Sheet1!F37","=GEOMEAN(1)","1","1","recognized_or_runtime_error",
"GESTEP","Sheet1!F38","=GESTEP(1)","1","1","recognized_or_runtime_error",
"GETPIVOTDATA","Sheet1!F39","","",,"operation_rejected","0x800A03EC"
"GROUPBY","Sheet1!F40","","",,"operation_rejected","0x800A03EC"
"GROWTH","Sheet1!G1","=GROWTH(1)","1","1","recognized_or_runtime_error",
"HARMEAN","Sheet1!G2","=HARMEAN(1)","1","1","recognized_or_runtime_error",
"HEX2BIN","Sheet1!G3","=HEX2BIN(1)","1","1","recognized_or_runtime_error",
"HEX2DEC","Sheet1!G4","=HEX2DEC(1)","1","1","recognized_or_runtime_error",
"HEX2OCT","Sheet1!G5","=HEX2OCT(1)","1","1","recognized_or_runtime_error",
"HLOOKUP","Sheet1!G6","","",,"operation_rejected","0x800A03EC"
"HOUR","Sheet1!G7","=HOUR(1)","0","0","recognized_or_runtime_error",
"HSTACK","Sheet1!G8","=HSTACK(1)","1","1","recognized_or_runtime_error",
"HYPERLINK","Sheet1!G9","=HYPERLINK(1)","1","1","recognized_or_runtime_error",
"HYPGEOM.DIST","Sheet1!G10","","",,"operation_rejected","0x800A03EC"
"HYPGEOMDIST","Sheet1!G11","","",,"operation_rejected","0x800A03EC"
"IF","Sheet1!G12","","",,"operation_rejected","0x800A03EC"
"IFERROR","Sheet1!G13","","",,"operation_rejected","0x800A03EC"
"IFNA","Sheet1!G14","","",,"operation_rejected","0x800A03EC"
"IFS","Sheet1!G15","","",,"operation_rejected","0x800A03EC"
"IMABS","Sheet1!G16","=IMABS(1)","1","1","recognized_or_runtime_error",
"IMAGE","Sheet1!G17","=IMAGE(1)","#VALUE!","-2146826273","recognized_or_runtime_error",
"IMAGINARY","Sheet1!G18","=IMAGINARY(1)","0","0","recognized_or_runtime_error",
"IMARGUMENT","Sheet1!G19","=IMARGUMENT(1)","0","0","recognized_or_runtime_error",
"IMCONJUGATE","Sheet1!G20","=IMCONJUGATE(1)","1","1","recognized_or_runtime_error",
"IMCOS","Sheet1!G21","=IMCOS(1)","0.54030230586814","0.54030230586814","recognized_or_runtime_error",
"IMCOSH","Sheet1!G22","=IMCOSH(1)","1.54308063481524","1.54308063481524","recognized_or_runtime_error",
"IMCOT","Sheet1!G23","=IMCOT(1)","0.642092615934331","0.642092615934331","recognized_or_runtime_error",
"IMCSC","Sheet1!G24","=IMCSC(1)","1.18839510577812","1.18839510577812","recognized_or_runtime_error",
"IMCSCH","Sheet1!G25","=IMCSCH(1)","0.850918128239322","0.850918128239322","recognized_or_runtime_error",
"IMDIV","Sheet1!G26","","",,"operation_rejected","0x800A03EC"
"IMEXP","Sheet1!G27","=IMEXP(1)","2.71828182845905","2.71828182845905","recognized_or_runtime_error",
"IMLN","Sheet1!G28","=IMLN(1)","0","0","recognized_or_runtime_error",
"IMLOG10","Sheet1!G29","=IMLOG10(1)","0","0","recognized_or_runtime_error",
"IMLOG2","Sheet1!G30","=IMLOG2(1)","0","0","recognized_or_runtime_error",
"IMPOWER","Sheet1!G31","","",,"operation_rejected","0x800A03EC"
"IMPRODUCT","Sheet1!G32","=IMPRODUCT(1)","1","1","recognized_or_runtime_error",
"IMREAL","Sheet1!G33","=IMREAL(1)","1","1","recognized_or_runtime_error",
"IMSEC","Sheet1!G34","=IMSEC(1)","1.85081571768093","1.85081571768093","recognized_or_runtime_error",
"IMSECH","Sheet1!G35","=IMSECH(1)","0.648054273663885","0.648054273663885","recognized_or_runtime_error",
"IMSIN","Sheet1!G36","=IMSIN(1)","0.841470984807897","0.841470984807897","recognized_or_runtime_error",
"IMSINH","Sheet1!G37","=IMSINH(1)","1.1752011936438","1.1752011936438","recognized_or_runtime_error",
"IMSQRT","Sheet1!G38","=IMSQRT(1)","1","1","recognized_or_runtime_error",
"IMSUB","Sheet1!G39","","",,"operation_rejected","0x800A03EC"
"IMSUM","Sheet1!G40","=IMSUM(1)","1","1","recognized_or_runtime_error",
"IMTAN","Sheet1!H1","=IMTAN(1)","1.5574077246549","1.5574077246549","recognized_or_runtime_error",
"INDEX","Sheet1!H2","","",,"operation_rejected","0x800A03EC"
"INDIRECT","Sheet1!H3","=INDIRECT(1)","#REF!","-2146826265","recognized_or_runtime_error",
"INFO","Sheet1!H4","=INFO(1)","#VALUE!","-2146826273","recognized_or_runtime_error",
"INT","Sheet1!H5","=INT(1)","1","1","recognized_or_runtime_error",
"INTERCEPT","Sheet1!H6","","",,"operation_rejected","0x800A03EC"
"INTRATE","Sheet1!H7","","",,"operation_rejected","0x800A03EC"
"IPMT","Sheet1!H8","","",,"operation_rejected","0x800A03EC"
