"run_id","task_id","scenario_id","artifact_ref","calc_mode_manifest","set_calc_mode_op_count","has_set_calc_mode_op","first_set_calc_mode_started_utc","last_set_calc_mode_finished_utc","run_exit_status"
"run-20260228-220954-2f79910f9","ECS-EB-034","SCN-EB034-STRUCTREF-SPILL","outputs\table_wave1\evidence\SCN-EB034-STRUCTREF-SPILL\run_manifest.json","automatic","1","true","2026-02-28T22:09:57.2252852Z","2026-02-28T22:09:57.4065890Z","success"
"run-20260228-220958-094882f81","ECS-EB-035","SCN-EB035-GROW-SHRINK-COERCION-FORMAT","outputs\table_wave1\evidence\SCN-EB035-GROW-SHRINK-COERCION-FORMAT\run_manifest.json","automatic","1","true","2026-02-28T22:09:59.7885172Z","2026-02-28T22:09:59.9386362Z","success"
"run-20260228-221000-7a954033d","ECS-EB-036","SCN-EB036-AUTOEXPAND-AUTOFILL","outputs\table_wave1\evidence\SCN-EB036-AUTOEXPAND-AUTOFILL\run_manifest.json","automatic","1","true","2026-02-28T22:10:02.1645345Z","2026-02-28T22:10:02.3672486Z","success"
"run-20260228-211100-49952bd1c","ECS-EB-040","SCN-EB040-FORMAT-VISIBLE-MATRIX","outputs\reason_code_wave1\evidence\SCN-EB040-FORMAT-VISIBLE-MATRIX\run_manifest.json","automatic","1","true","2026-02-28T21:11:01.7819042Z","2026-02-28T21:11:02.0017660Z","success"
"run-20260228-211057-9ac40f88a","ECS-EB-040","SCN-EB040-GRID-REFERENCE-MATRIX","outputs\reason_code_wave1\evidence\SCN-EB040-GRID-REFERENCE-MATRIX\run_manifest.json","automatic","1","true","2026-02-28T21:10:59.4048570Z","2026-02-28T21:10:59.6484926Z","success"
"run-20260228-211041-066b362c4","ECS-EB-040","SCN-EB040-NOW-RECALC","outputs\reason_code_wave1\evidence\SCN-EB040-NOW-RECALC\run_manifest.json","automatic","1","true","2026-02-28T21:10:44.2368401Z","2026-02-28T21:10:44.4303500Z","success"
"run-20260228-211052-47ffc2214","ECS-EB-040","SCN-EB040-RANDBETWEEN-RECALC","outputs\reason_code_wave1\evidence\SCN-EB040-RANDBETWEEN-RECALC\run_manifest.json","automatic","1","true","2026-02-28T21:10:54.3804989Z","2026-02-28T21:10:54.5848866Z","success"
"run-20260228-211048-94919dc05","ECS-EB-040","SCN-EB040-RAND-RECALC","outputs\reason_code_wave1\evidence\SCN-EB040-RAND-RECALC\run_manifest.json","automatic","1","true","2026-02-28T21:10:49.8253370Z","2026-02-28T21:10:50.0278279Z","success"
"run-20260228-211109-f404e8ae5","ECS-EB-040","SCN-EB040-SUMIF-UNRELATED-EDIT","outputs\reason_code_wave1\evidence\SCN-EB040-SUMIF-UNRELATED-EDIT\run_manifest.json","automatic","1","true","2026-02-28T21:11:11.5742635Z","2026-02-28T21:11:11.9419237Z","success"
"run-20260228-211045-bae0b782d","ECS-EB-040","SCN-EB040-TODAY-DATE-SYSTEM","outputs\reason_code_wave1\evidence\SCN-EB040-TODAY-DATE-SYSTEM\run_manifest.json","automatic","1","true","2026-02-28T21:10:47.6751360Z","2026-02-28T21:10:47.8706374Z","success"
"run-20260228-211104-4d376ff5d","ECS-EB-040","SCN-EB040-TYPE-COERCION-MATRIX","outputs\reason_code_wave1\evidence\SCN-EB040-TYPE-COERCION-MATRIX\run_manifest.json","automatic","1","true","2026-02-28T21:11:06.5319916Z","2026-02-28T21:11:06.7856251Z","success"
"run-20260228-221649-35f56d3da","ECS-EB-044","SCN-EB044-REOPEN-COERCION","outputs\reopen_wave1\evidence\SCN-EB044-REOPEN-COERCION\run_manifest.json","automatic","1","true","2026-02-28T22:16:55.8712466Z","2026-02-28T22:16:56.8867601Z","success"
"run-20260228-221658-c6fdba282","ECS-EB-044","SCN-EB044-REOPEN-DYNARRAY","outputs\reopen_wave1\evidence\SCN-EB044-REOPEN-DYNARRAY\run_manifest.json","automatic","1","true","2026-02-28T22:17:00.4458002Z","2026-02-28T22:17:00.6034288Z","success"
