"name","full_name","html_url","description","language","stargazers_count","forks_count","open_issues_count","created_at","updated_at","pushed_at","archived","default_branch"
"ppx_hardcaml","janestreet/ppx_hardcaml","https://github.com/janestreet/ppx_hardcaml","A plugin for the ppx_deriving rewriter that supports the Hardcaml syntax.","OCaml","7","1","1","2018/05/23 15:56:35","2026/01/14 01:07:28","2026/01/15 21:39:08","False","master"
"hardcaml","janestreet/hardcaml","https://github.com/janestreet/hardcaml","Hardcaml is an OCaml library for designing hardware.","OCaml","976","57","6","2018/05/23 16:00:02","2026/02/22 01:18:14","2026/01/15 21:35:39","False","master"
"pam","janestreet/pam","https://github.com/janestreet/pam","OCaml bindings for the Linux-PAM library","OCaml","3","2","0","2018/06/20 11:38:18","2026/01/14 01:07:25","2026/01/15 21:37:38","False","master"
"base_quickcheck","janestreet/base_quickcheck","https://github.com/janestreet/base_quickcheck","Randomized testing framework, designed for compatibility with Base","OCaml","18","10","2","2018/06/28 09:28:25","2026/01/14 01:07:17","2026/01/15 21:33:58","False","master"
"shell","janestreet/shell","https://github.com/janestreet/shell","Yet another implementation of fork&exec and related functionality","OCaml","11","3","0","2018/06/28 09:28:54","2026/01/14 01:08:35","2026/01/15 21:41:05","False","master"
"sexp","janestreet/sexp","https://github.com/janestreet/sexp","S-expression swiss knife","OCaml","48","5","2","2018/07/23 12:11:25","2026/02/02 12:28:38","2026/01/15 21:40:48","False","master"
"ocaml-tls","janestreet/ocaml-tls","https://github.com/janestreet/ocaml-tls","TLS in pure OCaml","OCaml","1","0","0","2018/08/29 13:45:26","2021/12/17 03:01:48","2019/01/18 15:44:51","False","master"
"sexp_macro","janestreet/sexp_macro","https://github.com/janestreet/sexp_macro","Sexp macros","OCaml","4","1","0","2018/10/03 09:17:25","2026/01/14 01:07:33","2026/01/15 21:40:56","False","master"
"notty_async","janestreet/notty_async","https://github.com/janestreet/notty_async","An Async driver for Notty","OCaml","6","1","0","2018/11/06 09:45:02","2026/01/14 01:07:25","2026/01/15 21:37:17","False","master"
"hardcaml_waveterm","janestreet/hardcaml_waveterm","https://github.com/janestreet/hardcaml_waveterm","A terminal based digital waveform viewer for Hardcaml","OCaml","14","4","0","2018/11/06 09:45:59","2026/01/14 01:07:22","2026/01/15 21:36:05","False","master"
"zstandard","janestreet/zstandard","https://github.com/janestreet/zstandard","OCaml bindings to Zstandard","OCaml","25","3","2","2019/01/16 10:54:48","2026/01/14 01:07:37","2026/01/15 21:42:16","False","master"
"sexp_diff_kernel","janestreet/sexp_diff_kernel","https://github.com/janestreet/sexp_diff_kernel","Code for computing the diff of two sexps","OCaml","7","2","0","2019/01/16 10:54:54","2024/08/23 14:15:40","2020/08/10 08:54:26","False","master"
"base_bigstring","janestreet/base_bigstring","https://github.com/janestreet/base_bigstring","String type based on Bigarray, for use in I/O and C-bindings","OCaml","11","9","0","2019/01/16 10:54:57","2026/01/14 01:07:21","2026/01/15 21:33:55","False","master"
"jst-config","janestreet/jst-config","https://github.com/janestreet/jst-config","Compile-time configuration for Jane Street libraries","OCaml","6","6","0","2019/01/18 10:18:26","2026/01/14 01:07:24","2026/01/15 21:36:55","False","master"
"ppx_module_timer","janestreet/ppx_module_timer","https://github.com/janestreet/ppx_module_timer","Ppx rewriter that records top-level module startup times","OCaml","5","2","0","2019/01/18 10:18:28","2026/01/14 01:07:30","2026/01/15 21:39:33","False","master"
"time_now","janestreet/time_now","https://github.com/janestreet/time_now","Reports the current time","WebAssembly","7","7","1","2019/01/18 10:18:31","2026/01/14 01:07:35","2026/01/15 21:41:28","False","master"
"ppx_stable","janestreet/ppx_stable","https://github.com/janestreet/ppx_stable","Stable types conversions generator","OCaml","23","3","1","2019/01/29 10:31:21","2026/01/14 01:07:31","2026/01/15 21:39:57","False","master"
"incr_dom_keyboard","janestreet/incr_dom_keyboard","https://github.com/janestreet/incr_dom_keyboard","A library for Incr_dom keybinding and keyboard shortcut helpers","OCaml","3","1","0","2019/02/26 12:53:54","2021/12/17 03:01:04","2021/07/30 16:30:35","False","master"
"incr_dom_partial_render","janestreet/incr_dom_partial_render","https://github.com/janestreet/incr_dom_partial_render","A library for simplifying rendering of large amounts of data","OCaml","6","3","0","2019/02/26 12:53:59","2026/01/14 01:07:23","2026/01/15 21:36:25","False","master"
"toplevel_backend","janestreet/toplevel_backend","https://github.com/janestreet/toplevel_backend","Module for setting up dependencies (like printers and liblinks) for toplevels","OCaml","7","2","0","2019/04/02 13:25:15","2026/01/14 01:07:35","2026/01/15 21:41:34","False","master"
"postgres_async","janestreet/postgres_async","https://github.com/janestreet/postgres_async","OCaml/async implementation of the postgres protocol (i.e., does not use C-bindings to libpq)","OCaml","27","6","0","2019/04/05 08:41:19","2026/01/14 01:07:26","2026/01/15 21:38:05","False","master"
"sexp_select","janestreet/sexp_select","https://github.com/janestreet/sexp_select","A library to use CSS-style selectors to traverse sexp trees","OCaml","7","2","1","2019/05/03 16:03:54","2026/01/14 01:07:33","2026/01/15 21:40:59","False","master"
"ppx_cold","janestreet/ppx_cold","https://github.com/janestreet/ppx_cold","Expands [@cold] into [@inline never][@specialise never][@local never]","OCaml","4","1","0","2019/05/07 08:40:24","2026/01/14 01:07:35","2026/01/15 21:38:29","False","master"
"async_websocket","janestreet/async_websocket","https://github.com/janestreet/async_websocket","A library that implements the websocket protocol on top of Async","OCaml","14","5","0","2019/06/21 08:35:16","2026/01/14 01:07:18","2026/01/15 21:33:48","False","master"
