"function_name","target"
"T.DIST.2T","Sheet1!L32"
"T.DIST.RT","Sheet1!L33"
"T.INV","Sheet1!L34"
"T.INV.2T","Sheet1!L35"
"T.TEST","Sheet1!L36"
"TAKE","Sheet1!L37"
"TAN","Sheet1!L38"
"TANH","Sheet1!L39"
"TBILLEQ","Sheet1!L40"
"TBILLPRICE","Sheet1!M1"
"TBILLYIELD","Sheet1!M2"
"TDIST","Sheet1!M3"
"TEXT","Sheet1!M4"
"TEXTAFTER","Sheet1!M5"
"TEXTBEFORE","Sheet1!M6"
"TEXTJOIN","Sheet1!M7"
"TEXTSPLIT","Sheet1!M8"
"TIME","Sheet1!M9"
"TIMEVALUE","Sheet1!M10"
"TINV","Sheet1!M11"
"TOCOL","Sheet1!M12"
"TODAY","Sheet1!M13"
"TOROW","Sheet1!M14"
"TRANSLATE","Sheet1!M15"
"TRANSPOSE","Sheet1!M16"
"TREND","Sheet1!M17"
"TRIM","Sheet1!M18"
"TRIMMEAN","Sheet1!M19"
"TRIMRANGE","Sheet1!M20"
"TRUE","Sheet1!M21"
"TRUNC","Sheet1!M22"
"TTEST","Sheet1!M23"
"TYPE","Sheet1!M24"
"UNICHAR","Sheet1!M25"
"UNICODE","Sheet1!M26"
"UNIQUE","Sheet1!M27"
"UPPER","Sheet1!M28"
"VALUE","Sheet1!M29"
"VALUETOTEXT","Sheet1!M30"
"VAR","Sheet1!M31"
"VAR.P","Sheet1!M32"
"VAR.S","Sheet1!M33"
"VARA","Sheet1!M34"
"VARP","Sheet1!M35"
"VARPA","Sheet1!M36"
"VDB","Sheet1!M37"
"VLOOKUP","Sheet1!M38"
"VSTACK","Sheet1!M39"
"WEBSERVICE","Sheet1!M40"
"WEEKDAY","Sheet1!N1"
"WEEKNUM","Sheet1!N2"
"WEIBULL","Sheet1!N3"
"WEIBULL.DIST","Sheet1!N4"
"WORKDAY","Sheet1!N5"
"WORKDAY.INTL","Sheet1!N6"
"WRAPCOLS","Sheet1!N7"
"WRAPROWS","Sheet1!N8"
"XIRR","Sheet1!N9"
"XLOOKUP","Sheet1!N10"
"XMATCH","Sheet1!N11"
"XNPV","Sheet1!N12"
"XOR","Sheet1!N13"
"YEAR","Sheet1!N14"
"YEARFRAC","Sheet1!N15"
"YIELD","Sheet1!N16"
"YIELDDISC","Sheet1!N17"
"YIELDMAT","Sheet1!N18"
"Z.TEST","Sheet1!N19"
"ZTEST","Sheet1!N20"
