"run_id","source_scope","topic_group","source_id","source_url","local_path","kind","status","note","downloaded_utc","size_bytes","sha256"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OI29500/%5bMS-OI29500%5d.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OI29500\[MS-OI29500].pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:36:22.1653029Z","17390700","2212feb8506cd0399835427d971f14fd0b38257769339076c565343f8704e4ca"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OINTXML/%5bMS-OINTXML%5d-240820.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OINTXML\[MS-OINTXML]-240820.pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:36:24.5249483Z","1032383","7609e7c511496c380502a39aef4d6dc01816b8da9a75c70ff1573a857d825ecc"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OINTXML/%5bMS-OINTXML%5d-250218.docx","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OINTXML\[MS-OINTXML]-250218.docx","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:36:26.0196737Z","67296","2faa645859135cf63abef9457b8263353abe4bc4ea3508071a8aed9a532dac76"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OINTXML/%5bMS-OINTXML%5d.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OINTXML\[MS-OINTXML].pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:36:28.6593389Z","1600793","ddfc77b351d8991f0eb45fa7dc680288ca07b146354be5543ac98f75d8480bd6"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OODF/%5bMS-OODF%5d-160623.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OODF\[MS-OODF]-160623.pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:36:34.1163337Z","10543175","8234610dd83f76a4f7c64c3d8c331384b5a9675cf2a033ee872cfd3aa5ec942e"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OODF/%5bMS-OODF%5d-160914.docx","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OODF\[MS-OODF]-160914.docx","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:36:36.2836942Z","469769","4728679700e3a0284ce991e1864e019a85dcbb19b71dec2db5221f5ee7942615"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OODF/%5bMS-OODF%5d.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OODF\[MS-OODF].pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:36:41.3113451Z","10537495","4bd81472836a56dfcf44b9986304013d4362896f8a71f58a58ac7dd8b3982a52"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OODF13/%5bMS-OODF13%5d-240416.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OODF13\[MS-OODF13]-240416.pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:36:46.7699135Z","10775851","8d521d341929126e33400d63969979e3d597f5f50e53cf68b4cc9b64c8230bee"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OODF13/%5bMS-OODF13%5d-241112.docx","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OODF13\[MS-OODF13]-241112.docx","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:36:48.9055230Z","476882","160555ad7852f6b7cfe04a3fa2bf57a2daf4f9b7304e3b8336b40e91d5872e4f"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OODF13/%5bMS-OODF13%5d.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OODF13\[MS-OODF13].pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:36:54.2769903Z","10783562","7a297968894cb094fcbd2aa6438cccbb06475f9506f382ace5a3673850b41cca"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OODF14/%5bMS-OODF14%5d-240521.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OODF14\[MS-OODF14]-240521.pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:36:59.1191963Z","10913480","3bc1be7349ba4def1f4a82b92de41cb0a217cbaf19fd8a8f894d069b39ae2022"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OODF14/%5bMS-OODF14%5d-240820.docx","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OODF14\[MS-OODF14]-240820.docx","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:37:01.2877623Z","484349","df48841429c008817960cea16d4868e748a8a4319b19ac68eb34ad7f7ddf2601"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OODF14/%5bMS-OODF14%5d.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OODF14\[MS-OODF14].pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:37:07.0729981Z","10925725","763c762fa96b43f6bd238f0b372006d63f8131b595ff540716744c51e72360a3"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OODF2/%5bMS-OODF2%5d-210422.pdf","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OODF2\[MS-OODF2]-210422.pdf","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:37:13.6134486Z","14648007","5b7717498a6a384964757383e347063411dfa549ce642d6bb95a88ae2d92ab31"
"20260323-163418Z","discovered_download","mixed","discovered","https://officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OODF2/%5bMS-OODF2%5d-210817.docx","C:\Work\DnaCalc\Foundation\reference\downloads\officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net\files\MS-OODF2\[MS-OODF2]-210817.docx","download_artifact","downloaded","Direct downloadable artifact mirror.","2026-03-23T16:37:16.0228389Z","478208","b538b2d0cf1b1c7eefdec82379ccdfdb80663025a8c37e62d473821bd4189d34"
